torch_name,onnx_name
layers.EarthSpecificLayer1.blocks.EarthSpecificBlock5.attention.linear2.bias,b1.a71.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.norm1.weight,b1.a80.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.norm1.bias,b1.a80.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.norm2.weight,b1.a81.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.norm2.bias,b1.a81.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.linear.linear1.weight,onnx::MatMul_9438
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.linear.linear1.bias,b1.a82.fc1.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.linear.linear2.weight,onnx::MatMul_9439
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.linear.linear2.bias,b1.a82.fc2.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.earth_specific_bias,onnx::Add_9436
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.linear1.weight,onnx::MatMul_9432
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.linear1.bias,b1.a78.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.linear2.weight,onnx::MatMul_9437
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock0.attention.linear2.bias,b1.a79.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.norm1.weight,b1.a88.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.norm1.bias,b1.a88.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.norm2.weight,b1.a89.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.norm2.bias,b1.a89.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.linear.linear1.weight,onnx::MatMul_9545
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.linear.linear1.bias,b1.a90.fc1.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.linear.linear2.weight,onnx::MatMul_9546
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.linear.linear2.bias,b1.a90.fc2.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.earth_specific_bias,onnx::Add_9543
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.linear1.weight,onnx::MatMul_9539
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.linear1.bias,b1.a86.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.linear2.weight,onnx::MatMul_9544
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock1.attention.linear2.bias,b1.a87.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.norm1.weight,b1.a96.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.norm1.bias,b1.a96.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.norm2.weight,b1.a97.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.norm2.bias,b1.a97.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.linear.linear1.weight,onnx::MatMul_9558
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.linear.linear1.bias,b1.a98.fc1.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.linear.linear2.weight,onnx::MatMul_9559
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.linear.linear2.bias,b1.a98.fc2.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.earth_specific_bias,onnx::Add_9556
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.linear1.weight,onnx::MatMul_9552
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.linear1.bias,b1.a94.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.linear2.weight,onnx::MatMul_9557
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock2.attention.linear2.bias,b1.a95.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.norm1.weight,b1.a104.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.norm1.bias,b1.a104.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.norm2.weight,b1.a105.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.norm2.bias,b1.a105.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.linear.linear1.weight,onnx::MatMul_9665
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.linear.linear1.bias,b1.a106.fc1.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.linear.linear2.weight,onnx::MatMul_9666
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.linear.linear2.bias,b1.a106.fc2.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.earth_specific_bias,onnx::Add_9663
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.linear1.weight,onnx::MatMul_9659
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.linear1.bias,b1.a102.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.linear2.weight,onnx::MatMul_9664
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock3.attention.linear2.bias,b1.a103.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.norm1.weight,b1.a112.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.norm1.bias,b1.a112.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.norm2.weight,b1.a113.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.norm2.bias,b1.a113.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.linear.linear1.weight,onnx::MatMul_9678
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.linear.linear1.bias,b1.a114.fc1.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.linear.linear2.weight,onnx::MatMul_9679
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.linear.linear2.bias,b1.a114.fc2.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.earth_specific_bias,onnx::Add_9676
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.linear1.weight,onnx::MatMul_9672
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.linear1.bias,b1.a110.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.linear2.weight,onnx::MatMul_9677
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock4.attention.linear2.bias,b1.a111.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.norm1.weight,b1.a120.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.norm1.bias,b1.a120.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.norm2.weight,b1.a121.weight
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.norm2.bias,b1.a121.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.linear.linear1.weight,onnx::MatMul_9785
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.linear.linear1.bias,b1.a122.fc1.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.linear.linear2.weight,onnx::MatMul_9786
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.linear.linear2.bias,b1.a122.fc2.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.earth_specific_bias,onnx::Add_9783
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.linear1.weight,onnx::MatMul_9779
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.linear1.bias,b1.a118.bias
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.linear2.weight,onnx::MatMul_9784
layers.EarthSpecificLayer2.blocks.EarthSpecificBlock5.attention.linear2.bias,b1.a119.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.norm1.weight,b1.a131.weight
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.norm1.bias,b1.a131.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.norm2.weight,b1.a132.weight
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.norm2.bias,b1.a132.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.linear.linear1.weight,onnx::MatMul_9800
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.linear.linear1.bias,b1.a133.fc1.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.linear.linear2.weight,onnx::MatMul_9801
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.linear.linear2.bias,b1.a133.fc2.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.earth_specific_bias,onnx::Add_9798
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.linear1.weight,onnx::MatMul_9794
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.linear1.bias,b1.a129.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.linear2.weight,onnx::MatMul_9799
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock0.attention.linear2.bias,b1.a130.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.norm1.weight,b1.a139.weight
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.norm1.bias,b1.a139.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.norm2.weight,b1.a140.weight
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.norm2.bias,b1.a140.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.linear.linear1.weight,onnx::MatMul_9907
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.linear.linear1.bias,b1.a141.fc1.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.linear.linear2.weight,onnx::MatMul_9908
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.linear.linear2.bias,b1.a141.fc2.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.earth_specific_bias,onnx::Add_9905
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.linear1.weight,onnx::MatMul_9901
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.linear1.bias,b1.a137.bias
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.linear2.weight,onnx::MatMul_9906
layers.EarthSpecificLayer3.blocks.EarthSpecificBlock1.attention.linear2.bias,b1.a138.bias
downsample.linear.weight,onnx::MatMul_9066
downsample.norm.weight,b1.a26.weight
downsample.norm.bias,b1.a26.bias
upsample.linear1.weight,onnx::MatMul_9787
upsample.linear2.weight,onnx::MatMul_9788
upsample.norm.weight,b1.a125.weight
upsample.norm.bias,b1.a125.bias
_output_layer.conv.weight,b1.a142.weight
_output_layer.conv.bias,b1.a142.bias
_output_layer.conv_surface.weight,b1.a143.weight
_output_layer.conv_surface.bias,b1.a143.bias
,
